tagname,body
"c++11","C++11 is the name of the C++ standard, approved in 2011. It replaces the previous C++03 standard, adding various core language changes and fixes, and an improved and expanded standard library."
"text","Text is a sequence of characters that is most often used to represent a cohesive piece of information."
"google-maps-api-3","Google Maps JavaScript API Version 3 lets you embed the functionality of Google Maps into your own website.  Version 3 provides greatly improved support for mobile devices. Ask non-programming and licensing questions in the [Maps API Google Group](http://groups.google.com/group/google-maps-js-api-v3)
"
"jsf-2","JavaServer Faces (JSF) is a model-view-presenter framework typically used to create web applications. Version 2.x is a major step ahead compared to JSF 1.x, significantly expanding the standard set of components and component libraries. If you're using JSF 2.x, tag your questions as such so that more suited answers can be given."
"plugins","A plug-in (or plugin) is a set of software components that adds specific abilities to a larger software application. If supported, plug-ins enable customizing the functionality of an application."
"canvas","Canvas is a drawing element introduced to web development with HTML5. For Android or WPF, use android-canvas or WPF-controls."
"data-binding","A general technique that binds two data/information sources together and maintains them in sync."
"netbeans","NetBeans refers to both a platform framework for Java desktop applications, and an integrated development environment (IDE) for developing with Java and other languages."
"dll","A dynamic-link library (DLL) is a module that contains functions and data that can be used by another module (application or DLL). It is Microsoft's implementation of the shared library concept in the Microsoft Windows and OS/2 operating systems. "
"heroku","Heroku (pronounced her-OH-koo) is a cloud platform for Ruby, Node.js, Clojure, Python, PHP and JVM-based (Java, Scala, etc.) applications that features a Git-based deployment strategy, a large number of services offered as add-ons, and a full API."
"encryption","Encryption is the process of transforming information (called plaintext) using an algorithm (called cipher) to make it unreadable to anyone except those with special knowledge (often called a key).
Conceptual questions about encryption may get better answers on crypto.stackexchange.com."
"xpath","The primary purpose of XPath is to address parts of an XML document. It also provides basic facilities for manipulation of strings, numbers and booleans. XPath uses a compact, non-XML syntax. XPath operates on the abstract, logical structure of an XML document, rather than its surface syntax."
"for-loop","A for loop is a control structure used by many programming languages to iterate over a range. It is a way of repeating statements a number of times until the loop ends. Depending on the language this may be over a range of integers, iterators, etc."
"reflection","Reflection is the process by which a program can observe and modify its own structure and behavior at runtime."
"gui","Graphical User Interface development for applications or web sites.  This tag should usually be combined with other tags specifying the programming language, platform or framework, if applicable."
"ios4","The 2010-2011 version of the iPhone/iPad/iPod Touch/Apple TV operating system family, made by Apple."
"hadoop","Hadoop is an Apache open-source project that provides software for reliable and scaleable distributed computing. The project itself includes a variety of other complimentary additions."
"mvvm","Model View ViewModel (MVVM) is an architectural design pattern that separates the page (the View) from the data (the Model) by way of its presentation logic (its ViewModel)."
"cordova","PhoneGap aka Cordova is an open-source, cross-device mobile development platform that allows developers to create mobile applications using standard web technologies like HTML, JavaScript, and CSS that can be deployed to each device, rather than programming in each device's native platform and languages."
"jdbc","JDBC (Java DataBase Connectivity) is the base API which enables interacting with SQL database servers by executing SQL statements using the Java programming language."
"twitter","Twitter is a microblogging service that lets users post ""tweets"" of up to 140 characters. These can also be posted via its API (http://dev.twitter.com)."
"asynchronous","Asynchronous programming is simply allowing some portions of code to be executed on separate threads. 

It makes your applications perform better, be more responsive, and use the resources of the system they are running on to the fullest extent.
"
"file-io","File I/O is input/output that involves the file system.  This could include performing operations on directories and files, such as creation and deletion, reading files, and writing output to files."
"browser","A web browser or Internet browser is a software application for retrieving, presenting, and traversing information resources on the World Wide Web."
"jquery-plugins","Custom add-ons and plugins for the jQuery library. jQuery functions and features not included in the standard jQuery library."
"python-3.x","Python 3 is the latest version of the Python programming language and was formally released on December 3rd, 2008."
"recursion","Recursion in computer science is a method of problem solving where the solution to a problem depends on solutions to smaller instances of the same problem."
"data-structures","A data structure is a way of organizing data in a fashion that allows particular properties of that data to be queried and/or updated efficiently."
"web","Use this tag for questions related to general questions related to all aspects of the web. For specific portions, use the specific tag for it, such as [uri], [html] and [http]."
"deployment","A series of activities that makes a program available for use (usually in test or production environments)"
"data","Data is any form of information that can be used by a process, service, or application.  This is generic terminology - consider a more specific taxonomy when posting."
"methods","A method is code that performs a task and is associated with a class or an object."
"emacs","GNU Emacs is an extensible, customizable, self-documenting text editor. At its core is an interpreter for Emacs Lisp, a dialect of the Lisp programming language with extensions to support text editing"
"windows-phone-8","Windows Phone 8 is a version of Windows Phone (Oct 29, 2012 - present), succeeding Windows Phone 7.5 and includes many new featuresets."
"service","A Service is a long-running executable that performs specific functions and which is designed not to require user intervention."
"javascript-events","Creating and handling JavaScript events inline in HTML or through a script."
"random","This tag is for questions pertaining to random numbers, whether pseudo random or truly random."
"input","Input is usually related to the user input, i.e. to the data that user effectively supply to the running application. In many systems this input is considered to be potentially dangerous and needs to be sanitized."
"checkbox","A checkbox is a graphical user interface element that permits the user to make a binary selection."
"graphics","Graphics are visual presentations. There are many types of graphics, for example, photographs, drawings, line art, graphs, and charts. Computer graphics primarily consist of bitmap and vector graphics."
"drop-down-menu","A user interface control GUI element, similar to a list box, which allows the user to choose one value from a list. When a drop-down list is inactive, it displays a single value. When activated, it displays (drops down) a list of values, from which the user may select one."
"view","This tag is for questions about database view or UI / architectural view. See also the following tags: views, sql-view, uiview."
"dictionary","A dictionary in computer science is a data structure that maps keys to values such that given a key its corresponding value can be efficiently retrieved.
"
"numpy","NumPy is a scientific and numerical computing extension to the Python programming language. "
"joomla","Joomla! is a free and open source Content Management System (CMS) for publishing content on the World Wide Web and intranets and a model–view–controller (MVC) Web application framework that can also be used independently."
"knockout.js","Knockout.js is an open source JavaScript library for dynamic HTML UIs using the Model-View-View Model (MVVM) pattern."
"unicode","Unicode is a standard for the encoding, representation and handling of text with the intention of supporting all the characters required for written text incorporating all writing systems, technical symbols and punctuation."
"windows-8","The successor to Microsoft Windows 7 that focuses on a new interface style for touch-based devices and tablets."
"uitableviewcell","The UITableViewCell class defines the attributes and behavior of the cells that appear in iOS UITableView objects.

"
"encoding","Encoding is a set of predefined rules to reversibly transform a piece of information in a certain representation into a completely different representation. The other way round is called decoding."
"ant","Apache Ant (formerly Jakarta Ant) is a declarative, XML-based build tool for Java projects.  It provides a rich set of standard tasks for performing most common build operations, such as compilation with javac, building archives and running tests.  Ant's functionality can be extended through custom tasks and macros.
"
"collections","Collections API's provide developers with a set of classes and interfaces that makes it easier to handle collections of objects."
"uiview","UIView is an iOS class which is used to display all user interface elements. All UI elements are either subclasses of UIView or are contained within a UIView."
"vector","A one-dimensional array data structure. Use 'vector-graphics' for graphic display."
"ios6","iOS 6 was announced by Apple on June 11, 2012 and released on September 19th, 2012. It runs all iPhones from 3GS and up."
"version-control","Version control is the management of changes to documents, programs, and other information stored as computer files."
"login","A login or logon (also called logging in or on and signing in or on) is the process by which individual access to a computer system is controlled by identification of the user using credentials provided by the user."
"command-line","A command line is a string given to a command interpreter that tells it actions to take, such as running programs or copying files. The interpreter processes command lines with escapes and substitutions.  "
"binding","Binding provides a simple and consistent way for applications to present and interact with data."
"hash","A hash function is any well-defined procedure or mathematical function that converts a large amount of data into a small datum, usually a single integer."
"printing","Printing is a process for reproducing text and image, typically with ink on paper using a printer."
"time","Measuring the time it takes to perform an operation. Also, questions related to obtaining the current time, calculating on times, formatting and parsing times, etc."
"reporting-services","SQL Server Reporting Services (SSRS) is server-based report generator from Microsoft. It provides a full range of ready-to-use tools and services to help you create, deploy, and manage reports for your organization, as well as programming features that enable you to extend and customize your reporting functionality. "
"primefaces","PrimeFaces is a JSF component library that ships with a large set of rich components which utilizes jQuery and jQuery UI under the covers. It supports the jQuery UI ThemeRoller CSS framework. There is also a specific set of rich components for mobile devices."
"matrix","In mathematics, a matrix (plural matrices) is a rectangular array of numbers, symbols, or expressions, arranged in rows and columns. The individual items in a matrix are called its elements or entries."
"syntax","In computer science, the syntax of a programming language is the set of rules that define the combinations of symbols that are considered to be correctly structured programs in that language. "
"asp.net-mvc-2","ASP.NET MVC 2 is the second major version of the ASP.NET MVC platform, it has since been outdated by ASP.NET MVC 3."
"github","GitHub is a hosting service for software development projects that use Git for version control."
"blackberry","BlackBerry is a line of mobile e-mail and smartphone devices developed and designed since 1999 by the Canadian company of the same name (previously called Research In Motion (RIM)). (Consider adding tag [tag:blackberry-10] for BB10 specific questions)"
"android-listview","A subclass of AdapterView which shows items in a vertically scrolling list."
"opengl-es","Subset of the OpenGL 3D graphics API designed for embedded devices such as mobile phones."
"yii","Yii is a high-performance, MVC architecture based, open source PHP framework best for developing Web 2.0 applications."
"ios7","iOS 7 is the seventh version of Apple's iOS mobile operating system and is the successor to iOS 6. It was announced at the company's Apple Worldwide Developers Conference (WWDC) on June 10, 2013, and was released on September 18, 2013."
"types","Types, and type systems, are used to enforce levels of abstraction in programs."
"django-models","The centerpiece of the Django object-relational mapping scheme is the Model."
"macros","A macro is a rule or pattern that specifies how a certain input sequence (often a sequence of characters) should be mapped to an output sequence (also often a sequence of characters) according to a defined procedure. The mapping process that instantiates (transforms) a macro into a specific output sequence is known as macro expansion."
"orm","Object-relational mapping (ORM) is a technique for mapping between object-oriented systems and relational databases."
"windows-7","Windows 7 is a past release of Microsoft Windows, succeeded by Windows 8. It was released to manufacturing on July 22, 2009. Windows 7 is the successor to Windows Vista, which was released three years prior."
"android-fragments","Fragments represent reusable behaviors or portions of user interface in an Android app. "
"graph","A graph can refer to a graphic (such as a chart or diagram) showing or displaying the relationship between two or more variables used, for instance, in visualising scientific data.
"
"solr","Apache Solr is an open source search server based on the Lucene Java search library."
"amazon-web-services","Amazon Web Services (AWS) is a collection of commercial services centered around virtualized, commodity and clustered computing, networking, database and storage, as well as supporting tools that are offered through infrastructure as a service"
"compiler","A compiler is a program which translates one language into another. The tag [compiler] should be applied to questions concerning the programming of compilers or for questions about the detailed inner workings of compilers. Don't use [compiler] for questions about options and settings for a particular compiler, use the name of the compiler you are interested in instead."
"utf-8","UTF-8 (Unicode Transformation Format, 8 bits) is a character encoding that describes each Unicode code point using a byte sequence of one to four bytes.  It is backwards-compatible with ASCII while still supporting representation of all Unicode code points."
"svg","SVG(Scalable Vector Graphics), is an XML-based two-dimensional vector graphics format."
"datagridview","The DataGridView is a Windows Forms control found in the .NET Framework starting at version 2.0. It is used to display and edit tabular data from many different kinds of data sources."
"properties","A property, in some object-oriented programming languages, is a special sort of class member, intermediate between a field (or data member) and a method. Properties are read and written like fields, but property reads and writes are (usually) translated to get and set method calls. "
"architecture","Architecture encompasses the process, artifacts and high-level structure of a solution."
"arraylist","Resizable-array implementation of the List interface in Java."
"ember.js","Ember.js is an advanced HTML5 MVC application framework written in JavaScript and distributed under an open source license.
"
"tcp","Transmission Control Protocol (TCP) is a transport layer protocol that provides a connection-oriented data stream service with guaranteed, in-order delivery."
"map","A map is a data structure relating keys to values, or a higher order function that applies a function to a list. For questions about geography, use [maps] instead."
"multidimensional-array","Multidimensional-arrays can be described as ""arrays of arrays"". Multidimensional-arrays are often used to put values in a table format (e.g. rows and columns)."
"iis-7","IIS (Internet Information Services) Version 7 – is a web server application and a set of feature extension modules created by Microsoft for use with Microsoft Windows. Released with Window Server 2008 and Windows Vista."
"groovy","Groovy is an object-oriented programming language for the Java platform. It is a dynamic language with features similar to those of Python, Ruby, Perl, and Smalltalk. It can be used as a scripting language for the Java Platform."
"configuration","Configuration is the process of specifying the settings used for a system or application"
"concurrency","In computer science, concurrency is a property of systems in which multiple computations can be performed in overlapping time periods. The computations may be executing on multiple cores in the same chip, preemptively time-shared threads on the same processor, or executed on physically separated processors.
"
"pdo","PDO (PHP Data Objects) is a database abstraction layer for PHP."
"datagrid","A graphical user interface element that presents a tabular view of data."
"actionscript","ActionScript is a scripting language used for RIAs, mobiles applications, web applications,  etc."
"uiviewcontroller","The UIViewController class manages the views in iOS apps and mediates the interaction between an app's views, its underlying model objects, and the overall workflow."
"menu","A menu is a user interface mechanism that provides the user a means to view and execute application operations."
"memory-leaks","A memory leak occurs when a program fails to release memory that it has allocated but is no longer using and is not recoverable."
"nginx","Nginx (""engine x"") is a lightweight, high-performance HTTP server, reverse proxy and mail proxy, released under a BSD-like license."
"paypal","PayPal provides APIs to process payments, manage invoices, accounts, and more. Developer resources to use PayPal APIs are available at https://developer.paypal.com ."
"vbscript","VBScript (Visual Basic Scripting Edition) is an interpreted scripting language developed by Microsoft that is modeled on Visual Basic."
"interface","An interface refers to the point of interaction between components. Interfaces are applicable at both the hardware and software level. 

In general, an interface exposes a contract without exposing the underlying implementation details. In Object Oriented Programming, interfaces define abstract types that expose behavior, but contain no logic. Implementation is defined by the class or type that implements the interface."
"parameters","Parameters are a type of variable used in a subroutine to refer to the data provided as input to the subroutine."
"rspec","RSpec is a behaviour-driven development (BDD) framework for the Ruby language."
"google-chrome-extension","Extension development for the Google Chrome web browser."
".net-4.0","Version 4.0 of the .NET Framework."
"activity","Activity has multiple meanings.  For Android activities, use the more specific [android-activity] tag.  For Windows Workflow Foundation activities, use the more specific [workflow-activity] tag."
"fonts","A font is an electronic data file containing a set of glyphs, characters, or symbols such as dingbats. Although the term font first referred to a set of metal type sorts in one style and size, since the 1990s most fonts are digital, used on computers."
"oauth","OAuth (Open Authorization) is a specification for client applications to access protected resources on behalf of a user. It was developed as an alternative to users handing out their login credentials to third-party applications."
"exception-handling","Exception handling is a programming language construct or computer hardware mechanism designed to handle the occurrence of exceptions, special conditions that change the normal flow of program execution."
"asp-classic","Active Server Pages (ASP), also known as Classic ASP or ASP Classic, was Microsoft's first server-side script-engine for dynamically-generated web pages. The introduction of ASP.NET led to use of the term Classic ASP for the original technology. "
"jqgrid","jqGrid (a jQuery plugin) is a Ajax-enabled JavaScript control that provides solution for representing tabular data on the web. Since the grid is client-side solution and loading data dynamically through Ajax callbacks, it can be integrated with any server side technology.
"
"express","Express is a minimal and flexible Node.js web application framework, providing a robust set of features (regex-based routing, sessions, multiple view / templating engines) for building single and multi-page, and hybrid web applications."
"struts2","Apache Struts 2 is an extensible framework based on  model–view–controller (MVC) architecture for creating enterprise-ready Java web applications.
"
"coldfusion","ColdFusion is a server-side rapid application development platform, implementing the dynamic general purpose CFML programming language."
"url-rewriting","A URL rewrite engine is software that modifies a web URL's appearance (URL rewriting). Rewritten URLs are used to provide shorter and more relevant-looking links to web pages, to route users from obsolete URLs to replacements, or to simplify the format of the URL for human readability. The technique adds a degree of separation between the files used to generate a web page and the URL that is presented to the world.
"
"colors","Use this tag for questions about representing or manipulating colors in a programming language."
"sharepoint-2010","For SharePoint-specific questions, please see the SharePoint Stack Exchange site at  http://sharepoint.stackexchange.com/"
"struct","A keyword in the C family of languages for declaring a structured composite data type."
"ssh","Secure Shell - a network protocol for exchanging data throughout secure channel with most common uses of remote command execution (remote shell/console) and file transfer."
"tfs","Team Foundation Server is a complete Application Lifecycle Management (ALM) suite, offered by Microsoft."
"stl","The Standard Template Library, or STL, is a C++ library of generic containers, iterators, algorithms, and function objects.

When C++ was standardised, large parts of the STL were adopted into the Standard Library, and these parts in the Standard Library are also sometimes referred to collectively as ""the STL""."
"process","This tag is about operating system processes. A process is an instance of a computer program being executed. Many operating systems let multiple processes run concurrently. The operating system takes care of isolating processes one from another in order to provide data integrity and also provides means for interprocess communication (IPC)"
"junit","Popular unit testing framework for Java and Scala. The latest version, JUnit 4, supports rich annotation-based and parameterized tests. Consider using in conjunction with the Java or Scala tag to indicate your use case."
"com","Component Object Model (COM) is a component technology from Microsoft, featuring remoting, language independence and interface-based programming.
For questions about the COM serial port, you should use the [serial-port] tag instead."
"build","The process of converting source code files into standalone software artifact(s) that can be run on a computer"
"jar","JAR file (or Java ARchive) aggregates many files into one. JAR files build on the ZIP file format."
"timer","Timer is a control that has the functionality to trigger a user defined action at regular intervals as configured by the user. "
"https","Hypertext Transfer Protocol Secure (HTTPS) is a combination of the Hypertext Transfer Protocol with the SSL/TLS protocol to provide encrypted communication and secure identification of a network web server."
"plsql","PL/SQL (Procedural Language/Structured Query Language) is Oracle Corporation's procedural language extension for SQL. Questions about PL/SQL should probably be tagged ""oracle"" as well."
"error-handling","Programming language constructs designed to handle errors signaled by error codes, exceptions or other language specific means."
"internet-explorer-8","Windows Internet Explorer 8 is a web browser developed by Microsoft, released on 19 March 2009 for Windows XP, Windows Server 2003, Windows Vista, Windows Server 2008, and Windows 7."
"replace","Replacing is the action of searching a string for a sub-string and replacing it with a different string. "
"model","Part of the MVC pattern, the Model manages the behavior and data of the application. "
"import","Refers generally to the process of moving data from an external source into one's platform, program, or data set."
"constructor","A special type of subroutine called at the creation of an object."
"webview","Elements in graphical user interfaces that host HTML content. For Android, please look at the android-webview tag. For iOS, look under uiwebview."
"entity-framework-4","A tag for ADO.NET Entity Framework 4.x, itself an object-relational mapping for the .NET framework."
"scripting","Scripting is a form of programming generally characterized by low formality, loose typing, and no requirement for explicit compilation. There are numerous scripting languages, and these are used in a wide variety of scenarios - command-line applications, GUIs, server-side applications, extension modules."
"casting","Casting is a process where an object type is explicitly converted into another type if the conversion is allowed."
"foreach","foreach is a looping construct that executes a given piece of code for each element in a list/collection/array. In contrast to a for loop, the foreach loop doesn't require the coder to maintain a counter variable to avoid off-by-one (fencepost) bugs."
"jboss","JBoss Application Server (JBoss AS) is a free software/open-source Java EE-based, Cross-platform Application Server."
"background","Background typically refers to the rendering behind a container element's contents - usually on a web page, Windows form or other UI presentation medium."
"reference","A reference is a value that enables a program to indirectly access a particular datum, such as a variable or a record, in the computer's memory or in some other storage device. "
"sed","Sed (Stream EDitor) is a command line editor for POSIX environment. Sed processes one or more files according to an editing script and writes the results to standard output. Created at Bell Labs, it has been around since the mid-70s."
"mysqli","The mysqli PHP extension (“MySQL improved”) is a PHP database driver, included since PHP 5. It takes advantage of new features introduced in MySQL 4.1.3 and newer."
"hyperlink","A hyperlink is a reference to a document (or a section) that can be followed for retrieval using a navigation system that allows selecting emphasized content within an originating document."
"autocomplete","Autocomplete is a UI feature provided by applications, where the program predicts a word or phrase that the user wants to type without the user actually typing it completely."
"upload","Upload refers to the sending of data from a local system to a remote system such as a server or another client with the intent that the remote system should store a copy of the data being transferred, or the initiation of such a process"
"character-encoding","Character encoding refers to the way characters are represented as a series of bytes"
"combobox","Combobox allows to select one option out of several (similar to a listbox), however, only the selected one is displayed by default (in the interest of screen real estate). "
"webforms","Web Forms is a part of the ASP.NET web application framework. It is one of the different programming models you can use to create ASP.NET web applications. Web Forms are pages that your users request through their browser and that form the user interface (UI) that give your web applications their look and feel."
"sdk","A software development kit (SDK) is a set of development tools that allows for the creation of software for a certain hardware platform, development environment, or software package. A SDK may consist of a combination of APIs, an IDE or other development tools, and frameworks."
"awk","AWK is an interpreted programming language designed for text processing and typically used as a data extraction and reporting tool."
"clojure","Clojure is a modern Lisp dialect for the Java Virtual Machine (with versions for the CLR and JavaScript). "
"uiwebview","A class used to display web content from within an iOS application."
"bitmap","The more general term pixmap refers to a map of pixels, where each one may store more than two colors, thus using more than one bit per pixel. Often bitmap is used for this as well. In some contexts, the term bitmap implies one bit per pixel, while pixmap is used for images with multiple bits per pixel."
"filter","A program or routine that blocks access to data that meet a particular criterion. An example would be a ""Web filter"" that screens out adult websites. Do NOT use this tag for Java servlet filters. Use [servlet-filters] instead."
"charts","A sheet of information in the form of a table, graph, or diagram."
"static","Static is a term used in some programming languages to define a function or data storage area (field) that is not bound to any specific object instance.  "
"dependency-injection","Design pattern to reduce coupling between components, by dynamically injecting into a software component dependencies that it needs to function."
"user-controls","A UserControl is a separate, reusable input control that allows a user to interact with an application. User controls can be buttons, checkboxes, input text boxes, mice, keyboards, etc."
"module","A logical subdivision of a larger, more complex system."
"d3.js","D3.js is a small, open-source JavaScript visualization library for manipulating HTML and SVG documents based on data"
"xml-parsing","An XML parser goes through text documents containing XML trees and allows the information in the hierarchy to be used. Use this tag for problems implementing an XML parser or generated by the use of an existing parser in a given language."
"asp.net-web-api","ASP.NET Web API is a framework for building HTTP services for clients like browsers and mobile devices. It is based on the Microsoft .NET Framework and ideal choice for building RESTful services."
"language-agnostic","Use this tag for PROGRAMMING QUESTIONS that are independent of any particular programming language."
"tabs","A user interface pattern that allows for the display of multiple pages or elements with a navigation reference above, below, or to the side of the content.  On clicking the navigation reference, one element is made visible while others are toggled off.  Often, the navigation reference is color-coded in a manner to indicate that it is currently visible."
"sqlite3","SQLite is a software library that implements a self-contained, serverless, zero-configuration, transactional SQL database engine. "
"intellij-idea","IntelliJ IDEA is a popular IDE by JetBrains. Originally created for Java, it currently supports a lot more languages, including: JavaScript, Groovy, HTML, CSS, RSS, R, Haskell, PHP, Ruby, Python, Scala, Clojure, Kotlin."
"ruby-on-rails-4","For issues relating to development with Ruby on Rails 4. If your question applies to Ruby on Rails in general, use the tag [ruby-on-rails]."
"triggers","Triggers are rules, that when evaluate to true perform one or more actions."
"matplotlib","Matplotlib is a plotting library for Python, built on NumPy and often used interactively with IPython. Its compact ""pylab"" interface is similar to the plotting functions of MATLAB®."
"insert","Insert is an action to add information to a larger container that the information should reside within. Some examples include inserting a file into a file system, inserting a record into a database, or inserting an item into a list."
"mfc","The Microsoft Foundation Class Library (MFC) is a C++ framework for Windows GUI programming.  "
"3d","3D computer graphics are graphics that use a three-dimensional representation of geometric data stored in the computer for the purposes of performing calculations and rendering 2D images."
"io","In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world, possibly a human, or another information processing system."
"frameworks","A framework is an existing library or set of libraries to help you complete a common task faster and more easily. In most cases the tag for a specific framework should be used instead of this tag."
"devise","Devise is an authentication gem for Ruby-on-Rails. It supersedes previous solutions such as Restful Authentication or Authlogic."
"localization","Localization, also known as L10n, is the process of adapting internationalized software for a specific region or language by adding locale-specific components and translating text."
"uiscrollview","UIScrollView is a core iOS development component used to build generic scrolling and zooming user interfaces.

"
"textbox","A textbox is a graphical user interface element which allows for simple input text, usually only a single line of text."
"path","A path, the general form of a file name or of a directory name, specifies a unique location in a file system."
"proxy","A proxy is a device or program that stands between two or more interconnected programs or devices.  Reasons for a proxy include one or more connected parties only wanting the other to access specific data.  A proxy provides a method for this."
"vb6","Visual Basic 6.0 (VB6) is the third generation event-driven programming language and integrated development environment (IDE) from Microsoft for its COM programming model."
"cuda","CUDA is a parallel computing platform and programming model for Nvidia GPUs (Graphics Processing Units). CUDA provides an interface to Nvidia GPUs through a variety of programming languages, libraries, and APIs. "
"youtube","YouTube is a video-sharing website on which users can upload, share, and view videos."
"permissions","Permissions define the operations that authenticated users are allowed to perform on file systems, databases and other computer systems."
"playframework","The Play! Framework is a modern Java and Scala web application open-source framework that provides a clean alternative to bloated Enterprise Java stacks."
"dojo","Dojo Toolkit is an open source modular JavaScript library designed to ease the rapid development of cross-platform, JavaScript/Ajax-based applications and web sites. It is dual-licensed under the BSD License and the Academic Free License.

"
"ssis","Microsoft SQL Server Integration Services (SSIS) is a platform for building enterprise-level data integration and data transformations solutions. "
"datatable","The term ""datatable"" is ambiguous. In .NET, it's a class that represents a table of in-memory data. In component based MVC frameworks like JSF and Wicket, it's an UI component that dynamically renders a HTML table based on a collection. For jQuery DataTables plugin, please use [datatables] tag."
"safari","Safari is Apple's web browser, the default browser on Mac OS X and iOS."
"enums","A data type consisting of a set of named values called elements, members or enumerators of the type."
"ftp","File Transfer Protocol (FTP) is a well-established protocol for conducting file operations (such as transferring files) over a TCP-based network such as the Internet."
"air","Adobe Integrated Runtime (AIR), also known as Adobe AIR, is a cross-platform runtime environment developed by Adobe Systems for building applications targeting desktop, mobile and television systems using Adobe Flash, Adobe Flex, ActionScript 3.0, MXML, HTML, or AJAX."
"header","The portion of a data block, cell, frame, or packet that precedes the text field or payload and provides information such as the source address and destination address. The header often includes synchronization bits that serve to synchronize the operations of the transmit and receive devices across the link."
"delete","Refers to the deletion of files from a filesystem or records from a database, or the deallocation of objects in memory. Can also refer to the DELETE which is one of the HTTP protocol methods."
"compilation","Compilation is the process of producing information, typically a program to be executed by a computer, from a source (or sources) typically being text in a computer programming language. Compilation can be ""converting"" between programming languages or assembling executable code from one such language, and is usually a part of the process of building and publishing computer software."
"jquery-selectors","Selectors can be used in jQuery to match a set of elements in a document. Most CSS selectors are implemented, as well as a set of custom ones."
"amazon-ec2","Amazon EC2 stands for ""Amazon Elastic Compute Cloud"". It is a part of Amazon Web Services (AWS) and allows users to rent virtual machine instances by the hour. You can create instances, launch and manage them through a central interface, through a web API or through a console."
"transactions","A set of interrelated operations that must all succeed in order for any of them to succeed.  Failure of any operation results in a rollback of all operations in the transaction."
"eclipse-plugin","Eclipse is an OSGi extensible platform for tool integration.  The extensions to Eclipse are  Java plug-ins."
"amazon-s3","Amazon S3 (simple storage service) is an online storage service from Amazon Web Services."
"jenkins","Jenkins is an extensible continuous integration server. Jenkins is open source and has packages for Linux, Mac OS X, Windows, Solaris, FreeBSD and OpenBSD."
"crystal-reports","Crystal Reports is a report writer that operates as a stand-alone report designer, an integrated part of Visual Studio, or part of SAP's Business Objects Enterprise suite.

"
"ruby-on-rails-3.2","Ruby on Rails version 3.2.0 released at January 20, 2012. Use this tag for issues related to development in Ruby on Rails version 3.2.0."
"doctrine2","Doctrine 2.0 is a PHP (5.3.2+) ORM. While Doctrine 1.2 uses the Active Record pattern, Doctrine 2 uses the Data Mapper pattern. The Doctrine project is a collection open source libraries and tools for dealing with database abstraction and Object-Relational Mapping written in PHP.
"
"lambda","Anonymous functions or closures in programming languages such as Lisp, C#, C++ or Python. (Also, lambda expression.)"
"plot","A graphical technique for presenting a data set or an equation.
"
"ado.net","A set of computer software components that programmers can use to access data and data services."
"cocos2d-iphone","Objective-C version of cocos2d (aka cocos2d-iphone). Cocos2d is a framework for building 2D games and graphical applications for iOS devices and OS X."
"android-emulator","An Android emulator is software which simulates the functionality of an Android device running the Android OS. Emulator allows developers develop and test applications without the need of various real devices with different configurations."
"dns","The Domain Name System (DNS) is a hierarchical naming system built on a distributed database for computers, services, or any resource connected to the Internet or a private network."
"android-asynctask","AsyncTask enables proper and easy use of the UI thread. This class allows to perform background operations and publish results on the UI thread without having to manipulate threads and/or handlers. AsyncTask is designed to be a helper class around Thread and Handler and does not constitute a generic threading framework.  AsyncTasks should ideally be used for short operations (a few seconds at the most.)"
"merge","Merging is a generic term for combining two or more related sets of data. It is commonly associated with revision control systems when reconciling multiple changes made to a revision-controlled collection of files.

Merging multiple data sets is another use of this tag."
"cross-browser","Cross-browser development refers to the practice of building web sites, web applications, libraries, or components so that they function across different web browsers and rendering engines. "
"attributes","The attributes tag should be used for any issues relating to a property of an object, element, or file, etc."
"laravel","Laravel is an open-source PHP web development framework created by Taylor Otwell. Laravel helps you create applications using simple, expressive syntax."
"callback","A callback is a reference to a method that is passed as an argument to another method. This could be used for example to enable a third-party library method to call a custom method upon completion of some task."
"get","GET is one of many request methods supported by the HTTP protocol. The GET request method is used when the client needs to get data from the server as part of the request-URI. 
"
"dialog","A form (window, box, etc.) presented to a user, usually for the purpose of capturing input or to make a decision."
"sql-server-2008-r2","Use this tag for questions specific to the 2008 R2 version (version 10.50) of Microsoft's SQL Server."
"mercurial","Mercurial is a fast, open-source DVCS (Distributed Version Control System).
"
"count","COUNT is a commonly-used SQL function that counts the number of rows"
"msbuild","MSBuild is an XML-based build platform from Microsoft."
"f#","F# is a succinct, expressive and efficient functional and object-oriented language for .NET which helps you write simple code to solve complex problems."
"xna","XNA is a cross-platform framework originally from Microsoft that facilitates game development with .NET. Supports: Windows, Xbox 360, Windows Phone (natively), Silverlight (via SilverSprite), iPhone/iPad, Android, Mac OS X, Linux and other (via MonoGame)."
"highcharts","Highcharts is a Javascript charting library that uses HTML, SVG, and VML. The editor offers both open source/nonprofit and commercial editions of the product."
"drag-and-drop","In computer graphical user interfaces, drag-and-drop is the action of (or support for the action of) selecting a virtual object by ""grabbing"" it and dragging it to a different location or onto another virtual object. "
"compiler-errors","An error that is generated during the compilation phase, often due to problems with invalid syntax and/or types.  Compare to [runtime-error]."
"coding-style","Refactoring, braces, indentation, Hungarian notation, and other stylistic issues relating to code."
